"location","context","source","target"
"digcomp.acronym.agri.expansion","digcomp.acronym.agri.expansion","Directorate-General for Agriculture and Rural Development","Directorate-General for Agriculture and Rural Development"
"digcomp.acronym.itu.expansion","digcomp.acronym.itu.expansion","International Telecommunications Union","International Telecommunications Union"
"digcomp.acronym.ai.expansion","digcomp.acronym.ai.expansion","Artificial Intelligence","Kunstmatige intelligentie"
"digcomp.acronym.jrc.expansion","digcomp.acronym.jrc.expansion","Joint Research Centre","Joint Research Centre"
"digcomp.acronym.ar.expansion","digcomp.acronym.ar.expansion","Augmented Reality","Augmented Reality"
"digcomp.acronym.json.expansion","digcomp.acronym.json.expansion","JavaScript Object Notation","JavaScript Object Notation"
"digcomp.acronym.cnect.expansion","digcomp.acronym.cnect.expansion","Directorate-General for Communications Networks, Content and Technology","Directorate-General for Communications Networks, Content and Technology"
"digcomp.acronym.mr.expansion","digcomp.acronym.mr.expansion","Mixed Reality","Mixed Reality"
"digcomp.acronym.nqf.expansion","digcomp.acronym.nqf.expansion","National Qualifications Framework","Nationaal kwalificatieraamwerk"
"digcomp.acronym.digit.expansion","digcomp.acronym.digit.expansion","Directorate-General for Digital Services","Directorate-General for Digital Services"
"digcomp.acronym.oecd.expansion","digcomp.acronym.oecd.expansion","Organisation for Economic Cooperation and Development","Organisatie voor Economische Samenwerking en Ontwikkeling"
"digcomp.acronym.eac.expansion","digcomp.acronym.eac.expansion","Directorate-General for Education, Youth, Sport and Culture","Directorate-General for Education, Youth, Sport and Culture"
"digcomp.acronym.oer.expansion","digcomp.acronym.oer.expansion","Open Educational Resources","Open leermaterialen (OER)"
"digcomp.acronym.ec.expansion","digcomp.acronym.ec.expansion","European Commission","Europese Commissie"
"digcomp.acronym.reform.expansion","digcomp.acronym.reform.expansion","Reform and Investment Task Force","Reform and Investment Task Force"
"digcomp.acronym.empl.expansion","digcomp.acronym.empl.expansion","Directorate-General for Employment, Social Affairs and Inclusion","Directorate-General for Employment, Social Affairs and Inclusion"
"digcomp.acronym.sj.expansion","digcomp.acronym.sj.expansion","Le Service juridique (Legal service of the European Commission)","Le Service juridique (juridische dienst van de Europese Commissie)"
"digcomp.acronym.eqf.expansion","digcomp.acronym.eqf.expansion","European Qualifications Framework","Europees kwalificatieraamwerk"
"digcomp.acronym.stem.expansion","digcomp.acronym.stem.expansion","Science, Technology, Engineering and Mathematics","Science, Technology, Engineering and Mathematics"
"digcomp.acronym.estat.expansion","digcomp.acronym.estat.expansion","Eurostat","Eurostat"
"digcomp.acronym.un.expansion","digcomp.acronym.un.expansion","United Nations","Verenigde Naties"
"digcomp.acronym.eu.expansion","digcomp.acronym.eu.expansion","European Union","Europese Unie"
"digcomp.acronym.unesco.expansion","digcomp.acronym.unesco.expansion","United Nations Educational, Scientific and Cultural Organisation","Organisatie der Verenigde Naties voor Onderwijs, Wetenschap en Cultuur"
"digcomp.acronym.euipo.expansion","digcomp.acronym.euipo.expansion","European Union Intellectual Property Office","European Union Intellectual Property Office"
"digcomp.acronym.vet.expansion","digcomp.acronym.vet.expansion","Vocational Education and Training","Beroepsonderwijs"
"digcomp.acronym.gdpr.expansion","digcomp.acronym.gdpr.expansion","General Data Protection Regulation","Algemene Verordening Gegevensbescherming"
"digcomp.acronym.vr.expansion","digcomp.acronym.vr.expansion","Virtual Reality","Virtual Reality"
"digcomp.acronym.icils.expansion","digcomp.acronym.icils.expansion","International Computer and Information Literacy Study","International Computer and Information Literacy Study"
"digcomp.acronym.xr.expansion","digcomp.acronym.xr.expansion","eXtended Reality","Extended Reality"
"digcomp.acronym.ict.expansion","digcomp.acronym.ict.expansion","Information and Communications Technologies","Informatie- en communicatietechnologie"
